Codering_3,HuishoudensTotaal_28,IndelingswijzigingWijkenEnBuurten_4,Year
BU01060603,685,1,2021
BU01060604,15,1,2021
BU01060700,40,1,2021
BU01060701,345,1,2021
BU01060702,215,1,2021
BU01060703,475,1,2021
BU01060704,465,1,2021
BU01060705,375,1,2021
BU01060706,355,1,2021
BU01060707,565,1,2021
BU01060708,345,1,2021
BU01060709,395,1,2021
BU01060710,835,1,2021
BU01060711,320,1,2021
BU01060712,70,1,2021
BU01060713,5,1,2021
BU01060714,25,1,2021
BU01060715,75,1,2021
BU01060716,10,1,2021
BU01060717,10,1,2021
BU01060800,365,1,2021
BU01060801,325,1,2021
BU01060802,125,1,2021
BU01060803,275,1,2021
BU01060804,490,1,2021
BU01060805,380,1,2021
BU01060806,160,1,2021
BU01060807,290,1,2021
BU01060808,170,1,2021
BU01060809,220,1,2021
BU01060810,350,1,2021
BU01060811,0,1,2021
BU01060812,10,1,2021
BU01060813,20,1,2021
BU01060814,5,1,2021
BU01060815,330,1,2021
BU01060816,415,1,2021
BU01060817,30,1,2021
BU01069900,105,1,2021
BU01069901,5,1,2021
BU01069902,10,1,2021
BU01069903,20,1,2021
BU01069904,45,1,2021
BU01069905,5,1,2021
BU01069906,20,1,2021
BU01069907,10,1,2021
BU01069908,30,1,2021
BU01069909,35,1,2021
BU01069910,15,1,2021
BU01069911,50,1,2021
BU01069912,25,1,2021
BU01069913,40,1,2021
BU01069914,5,1,2021
BU01069915,15,1,2021
BU01069916,20,1,2021
BU01069917,0,1,2021
BU07430101,60,1,2021
BU07430102,25,1,2021
BU07430103,0,1,2021
BU07430201,75,1,2021
BU07430202,135,1,2021
BU07430301,155,1,2021
BU07430302,660,1,2021
BU07430303,365,1,2021
BU07430401,280,1,2021
BU07430402,270,1,2021
BU07430403,60,1,2021
BU07430404,300,1,2021
BU07430405,150,1,2021
BU07430501,300,1,2021
BU07430502,775,1,2021
BU07430503,205,1,2021
BU07430504,185,1,2021
BU07430601,550,1,2021
BU07430602,455,1,2021
BU07430603,565,1,2021
BU07430701,105,1,2021
BU07430702,40,1,2021
BU07430801,640,1,2021
BU07430802,355,1,2021
BU07430901,0,1,2021
BU07431001,215,1,2021
BU07431002,140,1,2021
BU07431101,100,1,2021
BU08880000,4065,1,2021
BU08880001,1035,1,2021
BU08880002,1515,1,2021
BU08880100,165,1,2021
BU08880101,405,1,2021
BU08880102,65,1,2021
BU08880103,65,1,2021
BU08880109,10,1,2021
BU19540000,2105,1,2021
BU19540001,325,1,2021
BU19540002,370,1,2021
BU19540003,695,1,2021
BU19540009,30,1,2021
BU19540100,2280,1,2021
BU19540101,360,1,2021
BU19540102,10,1,2021
BU19540103,470,1,2021
BU19540104,50,1,2021
BU19540200,605,1,2021
BU19540201,145,1,2021
BU19540300,1410,1,2021
BU19540301,110,1,2021
BU19540302,220,1,2021
BU19540400,995,1,2021
BU19540401,330,1,2021
BU19540402,55,1,2021
BU19540500,745,1,2021
BU19540501,880,1,2021
BU19540502,440,1,2021
BU19540503,270,1,2021
BU19540504,70,1,2021
BU19540505,400,1,2021
BU19540509,15,1,2021
BU19540600,755,1,2021
BU19540601,1600,1,2021
BU19540602,70,1,2021
BU19540603,490,1,2021
BU08890000,2760,1,2021
BU08890001,2055,1,2021
BU08890008,30,1,2021
BU08890009,30,1,2021
BU08890100,925,1,2021
BU08890101,50,1,2021
BU08890102,25,1,2021
BU08890109,55,1,2021
BU17240001,185,1,2021
BU17240002,65,1,2021
BU17240003,470,1,2021
BU17240004,180,1,2021
BU17240005,315,1,2021
BU17240006,425,1,2021
BU17240007,145,1,2021
BU17240008,155,1,2021
BU17240009,90,1,2021
BU17240010,280,1,2021
BU17240011,125,1,2021
BU17240012,170,1,2021
BU17240013,465,1,2021
BU17240014,385,1,2021
BU17240015,105,1,2021
BU17240016,105,1,2021
BU17240017,50,1,2021
BU17240101,215,1,2021
BU17240201,195,1,2021
BU17240202,180,1,2021
BU17240203,80,1,2021
BU17240204,200,1,2021
BU17240205,90,1,2021
BU17240206,70,1,2021
BU17240207,75,1,2021
BU17240208,95,1,2021
BU17240209,5,1,2021
BU17240210,40,1,2021
BU17240211,0,1,2021
BU17240301,25,1,2021
BU17240302,205,1,2021
BU17240303,85,1,2021
BU17240304,165,1,2021
BU17240306,145,1,2021
BU17240307,165,1,2021
BU17240401,145,1,2021
BU17240402,75,1,2021
BU17240403,100,1,2021
BU17240404,25,1,2021
BU17240405,145,1,2021
BU17240406,50,1,2021
BU17240407,95,1,2021
BU17240408,145,1,2021
BU17240409,20,1,2021
BU17240501,160,1,2021
BU17240502,155,1,2021
BU17240503,10,1,2021
BU17240504,70,1,2021
BU17240505,65,1,2021
BU17240601,80,1,2021
BU17240602,60,1,2021
BU17240603,110,1,2021
BU17240604,35,1,2021
BU17240605,25,1,2021
BU17240606,50,1,2021
BU17240607,145,1,2021
BU17240608,135,1,2021
BU17240609,175,1,2021
BU17240610,55,1,2021
BU08930110,85,1,2021
BU08930111,20,1,2021
BU08930220,150,1,2021
BU08930221,0,1,2021
BU08930330,1955,1,2021
BU08930331,115,1,2021
BU08930332,10,1,2021
BU08930440,735,1,2021
BU08930441,170,1,2021
BU08930550,650,1,2021
BU08930551,225,1,2021
BU08930660,615,1,2021
BU08930661,210,1,2021
BU08930662,225,1,2021
BU08930770,270,1,2021
BU08930771,215,1,2021
BU07480000,2365,1,2021
BU07480001,975,1,2021
BU07480002,725,1,2021
BU07480003,670,1,2021
BU07480004,1020,1,2021
BU07480005,1210,1,2021
BU07480006,385,1,2021
BU07480100,1025,1,2021
BU07480101,1035,1,2021
BU07480102,1055,1,2021
BU07480103,1565,1,2021
BU07480200,2265,1,2021
BU07480201,1015,1,2021
BU07480202,1760,1,2021
BU07480203,1490,1,2021
BU07480204,1110,1,2021
BU07480205,510,1,2021
BU07480206,20,1,2021
BU07480208,125,1,2021
BU07480209,275,1,2021
BU07480300,3115,1,2021
BU07480301,420,1,2021
BU07480302,385,1,2021
BU07480306,5,1,2021
BU07480308,30,1,2021
BU07480309,0,1,2021
BU07480400,1265,1,2021
BU07480401,1010,1,2021
BU07480402,180,1,2021
BU07480403,410,1,2021
BU07480404,1050,1,2021
BU07480405,1105,1,2021
BU07480408,70,1,2021
BU07480409,30,1,2021
BU07480500,630,1,2021
BU07480507,65,1,2021
BU07480508,70,1,2021
BU07480509,55,1,2021
BU17210101,400,1,2021
BU17210102,305,1,2021
BU17210103,175,1,2021
BU17210104,180,1,2021
BU17210105,220,1,2021
BU17210106,255,1,2021
BU17210107,260,1,2021
BU17210108,250,1,2021
BU17210109,255,1,2021
BU17210110,280,1,2021
BU17210111,120,1,2021
BU17210112,210,1,2021
BU17210113,130,1,2021
BU17210114,225,1,2021
BU17210115,260,1,2021
BU17210116,170,1,2021
BU17210117,170,1,2021
BU17210118,485,1,2021
BU17210119,310,1,2021
BU17210120,510,1,2021
BU17210201,315,1,2021
BU17210202,205,1,2021
BU17210203,180,1,2021
BU17210204,270,1,2021
BU17210205,185,1,2021
BU17210206,330,1,2021
BU17210207,170,1,2021
BU17210208,205,1,2021
BU17210209,195,1,2021
BU17210210,335,1,2021
BU17210211,295,1,2021
BU17210301,345,1,2021
BU17210302,200,1,2021
BU17210303,205,1,2021
BU17210304,180,1,2021
BU17210305,175,1,2021
BU17210306,295,1,2021
BU17210307,210,1,2021
BU17210308,235,1,2021
BU17210309,205,1,2021
BU17210310,180,1,2021
BU17210401,105,1,2021
BU17210402,210,1,2021
BU17210403,120,1,2021
BU17210501,125,1,2021
BU17210502,105,1,2021
BU17210503,295,1,2021
BU17210504,170,1,2021
BU17210505,155,1,2021
BU17210506,385,1,2021
BU17210601,195,1,2021
BU17210602,570,1,2021
BU17210603,165,1,2021
BU07530001,955,1,2021
BU07530002,860,1,2021
BU07530003,520,1,2021
BU07530004,750,1,2021
BU07530005,80,1,2021
BU07530006,210,1,2021
BU07530007,1390,1,2021
BU07530008,1765,1,2021
BU07530009,1755,1,2021
BU07530010,85,1,2021
BU07530011,10,1,2021
BU07530012,0,1,2021
BU07530013,1280,1,2021
BU07530014,1490,1,2021
BU07530015,485,1,2021
BU07530016,470,1,2021
BU07530017,555,1,2021
BU07530018,200,1,2021
BU07530019,130,1,2021
BU17280000,600,1,2021
BU17280001,55,1,2021
BU17280002,50,1,2021
BU17280003,1040,1,2021
BU17280004,360,1,2021
BU17280005,740,1,2021
BU17280006,860,1,2021
BU17280007,145,1,2021
BU17280008,440,1,2021
BU17280009,250,1,2021
BU17280100,365,1,2021
BU17280109,40,1,2021
BU17280200,365,1,2021
BU17280201,15,1,2021
BU17280202,805,1,2021
BU17280203,335,1,2021
BU17280204,740,1,2021
BU17280207,0,1,2021
BU17280208,0,1,2021
BU17280209,150,1,2021
BU17280300,745,1,2021
BU17280301,95,1,2021
BU17280309,35,1,2021
BU17280400,415,1,2021
BU17280409,15,1,2021
BU07550000,2490,1,2021
BU07550005,150,1,2021
BU07550006,385,1,2021
BU07550007,190,1,2021
BU07550008,295,1,2021
BU07550009,125,1,2021
BU07550100,430,1,2021
BU07550109,220,1,2021
BU16810001,465,3,2021
BU16810009,60,3,2021
BU16810101,215,3,2021
BU16810102,500,3,2021
BU16810103,310,3,2021
BU16810104,395,3,2021
BU16810109,55,3,2021
BU16810209,50,3,2021
BU16810309,25,3,2021
BU16817901,145,3,2021
BU16817909,0,3,2021
BU16818001,190,3,2021
BU16818002,310,3,2021
BU16818003,470,3,2021
BU16818009,0,3,2021
BU16818109,40,3,2021
BU16818201,215,3,2021
BU16818202,185,3,2021
BU16818203,595,3,2021
BU16818204,300,3,2021
BU16818205,325,3,2021
BU16818206,555,3,2021
BU16818209,100,3,2021
BU16818309,45,3,2021
BU16818409,30,3,2021
BU16818501,300,3,2021
BU16818509,30,3,2021
BU16818601,140,3,2021
BU16818609,20,3,2021
BU16818701,180,3,2021
BU16818709,60,3,2021
BU16818801,210,3,2021
BU16818809,10,3,2021
BU16818909,100,3,2021
BU16819001,120,3,2021
BU16819009,30,3,2021
BU16819109,75,3,2021
BU16819209,70,3,2021
BU16819309,10,3,2021
BU16819409,45,3,2021
BU16819501,260,3,2021
BU16819502,185,3,2021
BU16819503,225,3,2021
BU16819509,95,3,2021
BU16819601,245,3,2021
BU16819609,85,3,2021
BU16819701,405,3,2021
BU16819702,755,3,2021
BU16819703,470,3,2021
BU16819704,220,3,2021
BU16819705,265,3,2021
BU16819709,5,3,2021
BU16819801,345,3,2021
BU16819802,135,3,2021
BU16819803,270,3,2021
BU16819809,35,3,2021
BU16819901,125,3,2021
BU16819909,45,3,2021
BU01470000,1315,1,2021
BU01470001,1715,1,2021
BU01470002,420,1,2021
BU01470003,885,1,2021
BU01470004,725,1,2021
BU01470005,570,1,2021
BU01470006,1265,1,2021
BU01470007,465,1,2021
BU01470008,1525,1,2021
BU01470009,110,1,2021
BU01470100,160,1,2021
BU01470101,385,1,2021
BU01470102,120,1,2021
BU01470105,105,1,2021
BU01470106,75,1,2021
BU07560000,1030,1,2021
BU07560001,1250,1,2021
BU07560002,505,1,2021
BU07560003,650,1,2021
BU07560004,215,1,2021
BU07560005,1170,1,2021
BU07560006,560,1,2021
BU07560007,265,1,2021
BU07560008,155,1,2021
BU07560009,30,1,2021
BU07560100,625,1,2021
BU07560109,120,1,2021
BU07560200,510,1,2021
BU07560209,205,1,2021
BU07560300,825,1,2021
BU07560309,135,1,2021
