WijkenEnBuurten,Gemeentenaam_1,SoortRegio_2,Codering_3,MeestVoorkomendePostcode_113,HuishoudensTotaal_28,GemiddeldeHuishoudensgrootte_32,Bevolkingsdichtheid_33,Woningvoorraad_34,GemiddeldeWoningwaarde_35,PercentageEengezinswoning_36,Koopwoningen_40,InBezitWoningcorporatie_42,InBezitOverigeVerhuurders_43,BouwjaarVanaf2000_46,GemiddeldElektriciteitsverbruikTotaal_47,GemiddeldAardgasverbruikTotaal_55,Gemiddeld_opleidingsniveau,Percent_inkomensontvangers,GemiddeldInkomenPerInwoner_72,Bedrijfsvestigingen_per_huishuidens,PersonenautoSPerHuishouden_102,AfstandTotSchool_108,MateVanStedelijkheid_115
Oude Molenbuurt,Assen,Buurt,BU01060200,9402,990,1.6,4875.0,1059,129.0,32.0,36.0,59.0,5.0,15.0,2010.0,1030.0,1.7983870967741935,0.8588957055214724,22.3,0.08080808080808081,0.7,0.3,1.0
Dichtershof,Assen,Buurt,BU01060201,9402,380,1.8,3760.0,389,184.0,45.0,38.0,60.0,3.0,74.0,2090.0,940.0,1.8780487804878048,0.8823529411764706,21.8,0.05263157894736842,0.8,0.7,2.0
Zwarte Water,Assen,Buurt,BU01060203,9402,630,2.0,4462.0,639,137.0,60.0,43.0,51.0,7.0,13.0,2190.0,1100.0,1.5376344086021505,0.8064516129032258,21.7,0.07936507936507936,0.8,0.5,2.0
Componistenbuurt West,Assen,Buurt,BU01060204,9402,280,2.4,2401.0,285,214.0,100.0,99.0,0.0,0.0,0.0,2630.0,1710.0,2.276595744680851,0.746268656716418,27.8,0.07142857142857142,1.2,0.6,2.0
Componistenbuurt Oost,Assen,Buurt,BU01060205,9402,1030,2.1,5350.0,1047,146.0,64.0,42.0,51.0,6.0,11.0,2390.0,1250.0,1.8670886075949367,0.7852193995381063,19.9,0.07281553398058252,0.9,0.5,2.0
Dijkveld,Assen,Buurt,BU01060300,9403,25,2.4,62.0,24,,100.0,92.0,0.0,8.0,4.0,3510.0,2230.0,,1.6666666666666667,,0.2,,2.0,5.0
Vreebergen,Assen,Buurt,BU01060301,9403,60,2.0,973.0,61,385.0,100.0,100.0,0.0,0.0,2.0,3480.0,2040.0,2.5,0.8333333333333334,43.7,0.16666666666666666,1.6,1.6,5.0
Houtlaan,Assen,Buurt,BU01060302,9403,130,2.6,1971.0,137,505.0,100.0,96.0,0.0,4.0,80.0,3930.0,1700.0,2.5172413793103448,0.8695652173913043,46.9,0.2692307692307692,1.6,1.7,5.0
Amelterhout,Assen,Buurt,BU01060303,9403,125,2.4,2643.0,125,248.0,100.0,98.0,0.0,1.0,1.0,2670.0,1790.0,2.3333333333333335,0.6666666666666666,30.3,0.08,1.2,1.3,4.0
Sluisdennen,Assen,Buurt,BU01060306,9404,140,1.9,806.0,250,358.0,40.0,52.0,0.0,4.0,16.0,2710.0,1540.0,2.235294117647059,0.8695652173913043,38.4,0.07142857142857142,1.2,0.6,3.0
Vredeveld Zuid,Assen,Buurt,BU01060307,9404,1175,1.8,4830.0,1194,137.0,49.0,39.0,52.0,8.0,9.0,2030.0,1160.0,1.8641975308641976,0.8256880733944955,22.0,0.06382978723404255,0.8,0.3,3.0
De Dorpen,Assen,Buurt,BU01060308,9404,625,1.7,4783.0,628,122.0,65.0,27.0,53.0,20.0,11.0,1840.0,1230.0,1.8505747126436782,0.8144796380090498,20.3,0.072,0.7,0.4,2.0
Pittelo Zuid,Assen,Buurt,BU01060400,9406,160,2.2,1975.0,158,222.0,100.0,99.0,0.0,1.0,0.0,2950.0,2020.0,,0.8450704225352113,29.0,0.15625,1.3,1.1,3.0
Pittelo Midden,Assen,Buurt,BU01060401,9406,785,2.2,5514.0,778,127.0,86.0,38.0,57.0,5.0,0.0,2460.0,1190.0,1.7709923664122138,0.7932011331444759,17.6,0.07006369426751592,0.8,0.5,2.0
Pittelo Noord,Assen,Buurt,BU01060402,9406,650,2.4,5700.0,633,143.0,94.0,76.0,11.0,13.0,6.0,2680.0,1310.0,1.865546218487395,0.7766990291262136,21.2,0.1,1.1,0.6,3.0
Baggelhuizen Zuid,Assen,Buurt,BU01060502,9405,485,2.2,2054.0,479,211.0,100.0,83.0,0.0,17.0,0.0,2870.0,1710.0,2.123456790123457,0.8450704225352113,28.9,0.10309278350515463,1.3,1.8,5.0
Baggelhuizen Midden,Assen,Buurt,BU01060503,9405,785,2.2,4549.0,781,159.0,92.0,82.0,14.0,4.0,4.0,2550.0,1430.0,2.022727272727273,0.8235294117647058,24.6,0.11464968152866242,1.0,1.2,4.0
Baggelhuizen Noord,Assen,Buurt,BU01060504,9405,325,2.2,4650.0,313,134.0,100.0,12.0,88.0,0.0,0.0,2000.0,1310.0,1.7450980392156863,0.6944444444444444,15.3,0.03076923076923077,0.8,0.6,4.0
De Venen/De Wallen,Assen,Buurt,BU01060600,9407,440,2.2,3879.0,446,158.0,88.0,67.0,30.0,3.0,0.0,2630.0,1190.0,1.9350649350649352,0.8247422680412371,23.7,0.056818181818181816,1.0,0.7,2.0
De Velden/De Stukken,Assen,Buurt,BU01060601,9407,750,2.4,5660.0,743,151.0,96.0,72.0,11.0,17.0,0.0,2620.0,1220.0,2.0144927536231885,0.7909604519774012,22.5,0.08666666666666667,1.1,0.3,3.0
De Landen/De Akkers,Assen,Buurt,BU01060602,9407,1065,2.1,5787.0,1061,141.0,80.0,62.0,35.0,3.0,0.0,2480.0,1050.0,1.92090395480226,0.7947019867549668,22.3,0.0892018779342723,1.0,0.5,3.0
De Kampen/De Essen,Assen,Buurt,BU01060603,9407,685,2.3,3752.0,681,167.0,96.0,60.0,18.0,21.0,2.0,2610.0,1220.0,2.032520325203252,0.8227848101265823,24.0,0.10218978102189781,1.1,0.8,3.0
De Messchen,Assen,Buurt,BU01060701,9403,350,2.4,3388.0,352,278.0,91.0,93.0,0.0,7.0,0.0,3010.0,1400.0,2.3676470588235294,0.8284023668639053,34.8,0.12857142857142856,1.4,0.9,4.0
De Hamels,Assen,Buurt,BU01060702,9403,220,2.7,3279.0,218,290.0,100.0,100.0,0.0,0.0,0.0,3250.0,1500.0,2.297872340425532,0.8620689655172413,34.8,0.11363636363636363,1.2,0.7,4.0
De Kleuven,Assen,Buurt,BU01060703,9403,470,2.4,6094.0,473,165.0,89.0,77.0,21.0,2.0,0.0,2590.0,1000.0,2.0114942528735633,0.7792207792207793,23.0,0.09574468085106383,1.3,0.5,3.0
De Dreven,Assen,Buurt,BU01060704,9403,465,2.5,5819.0,467,184.0,100.0,72.0,25.0,2.0,4.0,2640.0,1170.0,2.0813953488372094,0.7860262008733624,24.9,0.08602150537634409,1.1,0.5,3.0
De Hoven,Assen,Buurt,BU01060706,9403,355,2.5,3528.0,361,253.0,95.0,93.0,5.0,1.0,6.0,3080.0,1510.0,2.246376811594203,0.7821229050279329,29.2,0.08450704225352113,1.2,0.3,3.0
De Heugten,Assen,Buurt,BU01060707,9403,575,2.1,6055.0,575,156.0,92.0,61.0,32.0,7.0,0.0,2450.0,1030.0,1.8877551020408163,0.8097165991902834,21.4,0.0782608695652174,1.0,0.4,3.0
De Beemden,Assen,Buurt,BU01060708,9403,350,2.4,4234.0,343,186.0,93.0,53.0,36.0,11.0,3.0,2640.0,1190.0,1.9841269841269842,0.8484848484848485,23.9,0.15714285714285714,1.0,0.4,3.0
De Hullen,Assen,Buurt,BU01060709,9403,395,2.5,7426.0,392,194.0,100.0,93.0,0.0,7.0,0.0,2820.0,1260.0,2.116883116883117,0.8040201005025126,25.6,0.08860759493670886,1.2,0.2,3.0
De Stoepen,Assen,Buurt,BU01060710,9403,820,2.7,4633.0,828,230.0,97.0,96.0,0.0,4.0,9.0,3040.0,1230.0,2.1292134831460676,0.7982261640798226,28.6,0.14634146341463414,1.3,1.0,3.0
De Goorns,Assen,Buurt,BU01060711,9403,325,2.2,4878.0,327,158.0,96.0,56.0,36.0,8.0,0.0,2480.0,1070.0,1.8703703703703705,0.821917808219178,21.6,0.046153846153846156,1.0,0.6,3.0
Kloostertuinen,Assen,Buurt,BU01060801,9408,325,2.8,6194.0,347,215.0,93.0,91.0,7.0,1.0,100.0,2950.0,1070.0,2.203125,0.6557377049180327,25.4,0.12307692307692308,1.3,0.6,3.0
Kloosterhaven,Assen,Buurt,BU01060802,9408,130,2.8,2401.0,136,329.0,82.0,91.0,7.0,1.0,94.0,3230.0,1470.0,2.1785714285714284,0.8108108108108109,31.5,0.23076923076923078,1.5,1.0,4.0
Kloosterlanen,Assen,Buurt,BU01060803,9408,275,3.1,4307.0,277,350.0,100.0,99.0,0.0,1.0,100.0,3830.0,1500.0,2.1875,0.8045977011494253,31.8,0.2,1.6,0.5,4.0
Kloosterhoven,Assen,Buurt,BU01060804,9408,490,2.4,5907.0,519,197.0,86.0,44.0,29.0,26.0,100.0,2630.0,930.0,2.313953488372093,0.728744939271255,22.4,0.11224489795918367,1.0,0.4,3.0
Kloosterstede,Assen,Buurt,BU01060805,9408,375,2.8,7614.0,380,219.0,92.0,69.0,29.0,2.0,100.0,2910.0,1090.0,2.108108108108108,0.660377358490566,21.8,0.10666666666666667,1.2,0.5,4.0
Kloostergaarde,Assen,Buurt,BU01060806,9408,160,2.8,3440.0,161,190.0,100.0,58.0,42.0,1.0,100.0,2730.0,990.0,2.032258064516129,0.6593406593406593,19.2,0.125,1.1,0.2,4.0
Kloosterhage,Assen,Buurt,BU01060807,9408,290,3.3,7503.0,290,264.0,100.0,95.0,0.0,5.0,100.0,3460.0,1160.0,2.161764705882353,0.717948717948718,26.7,0.1724137931034483,1.4,0.7,4.0
Kloosterkade,Assen,Buurt,BU01060808,9408,175,3.3,5389.0,173,287.0,100.0,97.0,0.0,3.0,97.0,3420.0,1330.0,2.35,0.6956521739130435,27.5,0.14285714285714285,1.4,1.1,4.0
