WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;MeestVoorkomendePostcode_113;HuishoudensTotaal_28;GemiddeldeHuishoudensgrootte_32;Bevolkingsdichtheid_33;GemiddeldeWOZWaardeVanWoningen_35;PercentageEengezinswoning_36;Koopwoningen_40;InBezitWoningcorporatie_42;InBezitOverigeVerhuurders_43;BouwjaarVanaf2000_46;GemiddeldAardgasverbruikTotaal_55;Gemiddeld_opleidingsniveau;Percent_inkomensontvangers;Bedrijfsvestigingen_per_huishuidens;PersonenautoSPerHuishouden_102;AfstandTotSchool_108;Omgevingsadressendichtheid_116
Annen;Aa en Hunze;Buurt;16800000;9468;1495;2,3;1370,0;246,0;90,0;73,0;20,0;6,0;12,0;;2,102766798418972;;0,18394648829431437;1,3;0,8;411,0
Verspreide huizen Annen;Aa en Hunze;Buurt;16800009;9468;65;2,3;13,0;474,0;100,0;97,0;0,0;3,0;32,0;;2,1666666666666665;;0,38461538461538464;1,7;2,0;60,0
Eext;Aa en Hunze;Buurt;16800100;9463;535;2,3;734,0;259,0;98,0;83,0;14,0;3,0;6,0;;2,1122448979591835;;0,205607476635514;1,4;0,9;144,0
Verspreide huizen Eext;Aa en Hunze;Buurt;16800109;9463;85;2,0;11,0;396,0;96,0;94,0;0,0;6,0;4,0;;2,2;;0,35294117647058826;1,5;2,1;36,0
Anloo;Aa en Hunze;Buurt;16800200;9467;140;2,2;553,0;305,0;97,0;81,0;14,0;4,0;6,0;;2,1666666666666665;;0,21428571428571427;1,5;0,4;126,0
Verspreide huizen Anloo;Aa en Hunze;Buurt;16800209;9467;50;2,1;15,0;396,0;100,0;88,0;8,0;4,0;67,0;;2,3333333333333335;;0,2;1,0;0,9;170,0
Gasteren;Aa en Hunze;Buurt;16800300;9466;175;2,2;716,0;346,0;96,0;93,0;4,0;2,0;6,0;;;;0,3142857142857143;1,5;2,7;53,0
Verspreide huizen Gasteren;Aa en Hunze;Buurt;16800309;9466;1;3,3;2,0;;;;;;;;;;5,0;;2,0;22,0
Anderen;Aa en Hunze;Buurt;16800400;9465;90;2,3;515,0;341,0;100,0;86,0;7,0;7,0;9,0;;;;0,3333333333333333;1,8;4,2;33,0
Verspreide huizen Anderen;Aa en Hunze;Buurt;16800409;9465;10;2,9;3,0;;;;;;;;;;0,5;;3,6;16,0
Schipborg;Aa en Hunze;Buurt;16800500;9469;250;2,1;555,0;403,0;100,0;93,0;4,0;3,0;6,0;;2,4;;0,22;1,5;1,0;210,0
Verspreide huizen Schipborg;Aa en Hunze;Buurt;16800509;9469;25;2,3;12,0;341,0;100,0;77,0;0,0;23,0;32,0;;2,0;;0,2;;1,4;184,0
Eexterveen;Aa en Hunze;Buurt;16800600;9658;175;2,6;364,0;261,0;96,0;88,0;3,0;9,0;17,0;;;;0,2857142857142857;1,7;0,5;40,0
Verspreide huizen Eexterveen;Aa en Hunze;Buurt;16800609;9658;5;2,0;2,0;;;;;;;;;;0,0;;1,1;27,0
Spijkerboor;Aa en Hunze;Buurt;16800700;9656;60;2,3;663,0;240,0;100,0;92,0;6,0;2,0;0,0;;1,8461538461538463;;0,16666666666666666;1,5;3,7;34,0
Verspreide huizen Spijkerboor;Aa en Hunze;Buurt;16800709;.;1;;;;;;;;;;;;0,0;;;
Nieuw-Annerveen;Aa en Hunze;Buurt;16800800;9657;40;2,4;212,0;289,0;100,0;98,0;0,0;2,0;2,0;;;;0,25;;2,8;21,0
Verspreide huizen Nieuw-Annerveen;Aa en Hunze;Buurt;16800809;9657;1;3,3;3,0;;;;;;;;;;0,0;;2,2;16,0
Oud-Annerveen;Aa en Hunze;Buurt;16800900;9655;50;2,4;453,0;272,0;100,0;98,0;0,0;2,0;2,0;;;;0,3;1,7;2,2;28,0
Verspreide huizen Oud-Annerveen;Aa en Hunze;Buurt;16800909;9655;1;2,5;;;;;;;;;;;0,0;;;24,0
Annerveenschekanaal;Aa en Hunze;Buurt;16801100;9654;175;2,1;669,0;194,0;90,0;76,0;22,0;2,0;12,0;;;;0,2571428571428571;1,5;4,4;40,0
Verspreide huizen Annerveenschekanaal;Aa en Hunze;Buurt;16801109;9655;1;2,0;;;;;;;;;;;0,0;;;19,0
Eexterveenschekanaal;Aa en Hunze;Buurt;16801200;9659;110;2,1;377,0;179,0;98,0;87,0;8,0;6,0;5,0;;;;0,13636363636363635;1,5;2,2;94,0
Verspreide huizen Eexterveenschekanaal;Aa en Hunze;Buurt;16801209;9512;5;1,1;;;;;;;;;;;0,0;;;129,0
Eexterzandvoort;Aa en Hunze;Buurt;16801300;9464;45;2,2;135,0;275,0;96,0;91,0;7,0;2,0;7,0;;;;0,3333333333333333;;2,9;20,0
Verspreide huizen Eexterzandvoort;Aa en Hunze;Buurt;16801309;9464;10;2,6;6,0;;;;;;;;;;0,5;;3,4;17,0
Gasselte;Aa en Hunze;Buurt;16801400;9462;700;2,1;451,0;244,0;88,0;72,0;24,0;4,0;14,0;;2,0545454545454547;;0,16428571428571428;1,4;0,6;203,0
Kostvlies;Aa en Hunze;Buurt;16801401;9462;55;2,4;265,0;349,0;100,0;90,0;5,0;5,0;2,0;;2,1818181818181817;;0,2727272727272727;1,3;2,5;50,0
Verspreide huizen Gasselte;Aa en Hunze;Buurt;16801409;9462;135;1,8;16,0;345,0;95,0;74,0;5,0;21,0;13,0;;1,894736842105263;;0,25925925925925924;1,1;2,2;61,0
Gasselternijveen;Aa en Hunze;Buurt;16801500;9514;795;2,3;920,0;179,0;97,0;61,0;36,0;3,0;9,0;;1,8642857142857143;;0,15723270440251572;1,3;0,6;216,0
Gasselterboerveen;Aa en Hunze;Buurt;16801501;9514;15;2,9;137,0;;;;;;;;2,0;;0,6666666666666666;;2,0;43,0
Verspreide huizen Gasselternijveen;Aa en Hunze;Buurt;16801509;.;1;;;;;;;;;;;;0,0;;;
Gasselternijveenschemond;Aa en Hunze;Buurt;16801600;9515;275;2,2;268,0;205,0;98,0;82,0;13,0;5,0;10,0;;2,0;;0,2;1,3;1,8;126,0
Gasselterboerveenschemond;Aa en Hunze;Buurt;16801601;9515;10;2,9;63,0;;;;;;;;;;0,5;;3,5;19,0
Verspr.h. Gasselternijveenschemond;Aa en Hunze;Buurt;16801609;9515;1;3,5;;;;;;;;;;;0,0;;;78,0
Gieten;Aa en Hunze;Buurt;16801700;9461;2190;2,2;1200,0;238,0;91,0;67,0;28,0;5,0;11,0;;2,039772727272727;;0,1872146118721461;1,2;0,7;520,0
Verspreide huizen Gieten;Aa en Hunze;Buurt;16801709;9461;80;2,1;8,0;414,0;100,0;96,0;1,0;3,0;9,0;;2,6666666666666665;;0,3125;1,4;2,7;40,0
Gieterveen;Aa en Hunze;Buurt;16801800;9511;285;2,4;1025,0;196,0;94,0;72,0;24,0;4,0;11,0;;1,7884615384615385;;0,19298245614035087;1,3;0,6;98,0
Bonnerveen;Aa en Hunze;Buurt;16801801;9511;40;2,4;158,0;276,0;95,0;93,0;0,0;7,0;7,0;;1,7777777777777777;;0,375;;1,7;19,0
Nieuwediep;Aa en Hunze;Buurt;16801802;9512;100;2,5;241,0;253,0;100,0;91,0;3,0;6,0;8,0;;1,6666666666666667;;0,35;1,8;2,7;76,0
Verspreide huizen Gieterveen;Aa en Hunze;Buurt;16801809;9511;85;2,2;13,0;295,0;100,0;97,0;0,0;3,0;6,0;;2,0588235294117645;;0,35294117647058826;1,5;1,8;36,0
Rolde;Aa en Hunze;Buurt;16801900;9451;1715;2,1;1130,0;252,0;81,0;70,0;26,0;5,0;9,0;;2,0766283524904217;;0,1661807580174927;1,2;0,9;451,0
Ballo;Aa en Hunze;Buurt;16801901;9458;70;2,2;318,0;398,0;93,0;93,0;0,0;7,0;9,0;;2,1666666666666665;;0,35714285714285715;1,1;2,2;48,0
Nijlande;Aa en Hunze;Buurt;16801902;9452;25;2,5;305,0;375,0;100,0;100,0;0,0;0,0;0,0;;2,2;;0,4;;2,2;12,0
Deurze;Aa en Hunze;Buurt;16801903;9457;30;2,8;177,0;428,0;100,0;91,0;0,0;9,0;3,0;;2,142857142857143;;0,5;;3,1;13,0
Verspreide huizen Nooitgedacht;Aa en Hunze;Buurt;16801908;9449;140;2,3;62,0;313,0;84,0;67,0;5,0;28,0;81,0;;2,056603773584906;;0,21428571428571427;1,3;2,2;235,0
Verspreide huizen Rolde;Aa en Hunze;Buurt;16801909;9448;55;2,6;7,0;390,0;100,0;89,0;0,0;11,0;12,0;;2,1666666666666665;;0,7272727272727273;1,7;2,7;76,0
Grolloo;Aa en Hunze;Buurt;16802000;9444;260;2,3;807,0;281,0;95,0;84,0;10,0;5,0;4,0;;2,1458333333333335;;0,25;1,4;0,6;92,0
Schoonloo;Aa en Hunze;Buurt;16802001;9443;80;2,2;253,0;297,0;98,0;81,0;10,0;10,0;13,0;;2,2857142857142856;;0,3125;1,0;4,4;28,0
Verspreide huizen Papenvoort;Aa en Hunze;Buurt;16802008;9447;25;2,4;13,0;477,0;100,0;65,0;0,0;35,0;13,0;;1,6;;0,6;;3,9;11,0
Verspreide huizen Grolloo;Aa en Hunze;Buurt;16802009;9443;105;2,3;6,0;431,0;100,0;82,0;0,0;18,0;7,0;;2,0;;0,5238095238095238;1,5;3,2;39,0
Ekehaar;Aa en Hunze;Buurt;16802100;9454;105;2,4;724,0;308,0;99,0;84,0;8,0;7,0;11,0;;2,227272727272727;;0,2857142857142857;1,4;0,4;39,0
Amen;Aa en Hunze;Buurt;16802101;9446;35;2,5;199,0;377,0;94,0;97,0;0,0;3,0;11,0;;2,25;;0,42857142857142855;;1,6;18,0
Verspreide huizen Ekehaar;Aa en Hunze;Buurt;16802109;9453;50;2,9;8,0;470,0;100,0;91,0;0,0;9,0;13,0;;2,272727272727273;;0,6;1,7;1,9;11,0
Centrum;Aalsmeer;Buurt;3580000;1431;1305;2,0;5191,0;376,0;41,0;59,0;18,0;23,0;48,0;;2,082474226804124;;0,34099616858237547;1,1;0,5;1070,0
Stommeer;Aalsmeer;Buurt;3580001;1431;2885;2,2;3556,0;320,0;75,0;59,0;27,0;14,0;21,0;;1,9412955465587045;;0,21837088388214904;1,2;0,8;1205,0
Hornmeer;Aalsmeer;Buurt;3580004;1431;1100;2,3;977,0;316,0;96,0;56,0;30,0;14,0;0,0;;1,9277777777777778;;0,41363636363636364;1,3;0,7;718,0
Uiterweg;Aalsmeer;Buurt;3580005;1431;385;2,2;423,0;594,0;93,0;73,0;0,0;27,0;21,0;;2,08955223880597;;0,5584415584415584;1,4;1,6;596,0
Kudelstaart;Aalsmeer;Buurt;3580100;1433;3790;2,4;2130,0;332,0;77,0;66,0;27,0;7,0;36,0;;1,9900142653352353;;0,19656992084432717;1,3;0,7;829,0
Bovenlanden;Aalsmeer;Buurt;3580200;1432;410;2,3;617,0;407,0;93,0;77,0;0,0;23,0;12,0;;1,9333333333333333;;0,573170731707317;1,7;1,7;592,0
Greenpark;Aalsmeer;Buurt;3580201;1432;320;2,5;380,0;426,0;95,0;82,0;0,0;18,0;10,0;;2,032258064516129;;0,8125;2,1;1,6;490,0
Oosteinde;Aalsmeer;Buurt;3580205;1432;2775;2,8;2897,0;425,0;89,0;70,0;25,0;5,0;64,0;;2,0249554367201426;;0,3099099099099099;1,3;0,5;1053,0
Schinkelpolder;Aalsmeer;Buurt;3580206;1432;195;2,1;170,0;480,0;90,0;87,0;0,0;13,0;23,0;;2,2058823529411766;;0,7435897435897436;1,6;2,1;493,0
Barlo-Kern;Aalten;Buurt;1970101;7122;40;2,9;2682,0;279,0;100,0;100,0;0,0;0,0;29,0;;2,1;;0,25;;0,1;40,0
Verspreide huizen Barlo;Aalten;Buurt;1970102;7122;170;2,9;66,0;338,0;77,0;84,0;0,0;16,0;7,0;;1,8421052631578947;;0,5;1,4;1,5;33,0
Verspreide huizen Heurne;Aalten;Buurt;1970103;7122;145;2,5;48,0;324,0;73,0;84,0;0,0;16,0;6,0;;1,8888888888888888;;0,4827586206896552;1,3;2,5;115,0
Verspreide huizen IJzerlo;Aalten;Buurt;1970104;7122;175;2,8;54,0;335,0;74,0;81,0;0,0;19,0;2,0;;2,0277777777777777;;0,4857142857142857;1,8;1,7;26,0
IJzerlo-kern;Aalten;Buurt;1970105;7122;60;2,8;1564,0;229,0;100,0;92,0;0,0;8,0;13,0;;2,0;;0,16666666666666666;0,8;0,2;37,0
Lintelo-kern;Aalten;Buurt;1970106;7122;65;2,5;1567,0;272,0;100,0;94,0;5,0;2,0;19,0;;2,1666666666666665;;0,23076923076923078;1,6;0,3;52,0
Verspreide huizen ten westen van Aalten;Aalten;Buurt;1970107;7122;105;2,5;54,0;303,0;61,0;84,0;0,0;16,0;3,0;;2,0476190476190474;;0,47619047619047616;1,1;2,2;128,0
Verspreide huizen Lintelo;Aalten;Buurt;1970108;7122;245;2,7;49,0;316,0;72,0;81,0;0,0;18,0;7,0;;1,8958333333333333;;0,46938775510204084;1,5;1,6;30,0
Verspreide huizen Dalese Veld;Aalten;Buurt;1970109;7122;35;3,2;16,0;334,0;82,0;76,0;0,0;24,0;3,0;;1,7777777777777777;;0,5714285714285714;;3,2;22,0
Verspreide huizen Dale;Aalten;Buurt;1970110;7122;245;2,6;86,0;325,0;81,0;87,0;0,0;13,0;8,0;;2,125;;0,32653061224489793;1,7;1,6;266,0
Verspreide huizen Haart;Aalten;Buurt;1970111;7121;225;2,6;52,0;325,0;74,0;88,0;0,0;12,0;7,0;;1,9069767441860466;;0,4;1,4;1,8;61,0
Haart-kern;Aalten;Buurt;1970112;7121;25;2,8;1537,0;278,0;100,0;96,0;0,0;4,0;18,0;;2,1666666666666665;;0,2;;0,2;31,0
Verspreide huizen Bredevoort;Aalten;Buurt;1970201;7121;75;2,7;34,0;353,0;77,0;85,0;0,0;15,0;17,0;;2,0588235294117645;;0,4;1,5;1,8;61,0
Verspreide huizen Hollenberg;Aalten;Buurt;1970202;7121;85;2,2;140,0;275,0;88,0;88,0;5,0;7,0;6,0;;2,0625;;0,29411764705882354;1,8;1,7;104,0
Verspreide huizen Het Zwanenbroek;Aalten;Buurt;1970203;7126;30;2,8;40,0;342,0;86,0;86,0;0,0;14,0;4,0;;2,3333333333333335;;0,3333333333333333;;1,4;147,0
Bredevoort;Aalten;Buurt;1970204;7126;620;2,2;2484,0;194,0;87,0;75,0;17,0;6,0;8,0;;1,981818181818182;;0,1935483870967742;1,1;0,4;235,0
Aalten-kern West;Aalten;Buurt;1970301;7122;895;2,2;3770,0;191,0;94,0;75,0;22,0;3,0;1,0;;1,8733333333333333;;0,0670391061452514;1,1;0,7;948,0
Aalten-kern Zuid 1;Aalten;Buurt;1970302;7121;1015;2,4;1498,0;198,0;96,0;79,0;12,0;7,0;7,0;;1,8547486033519553;;0,22167487684729065;1,4;0,5;981,0
Aalten-kern Zuid 2;Aalten;Buurt;1970303;7123;555;2,6;2339,0;227,0;95,0;81,0;10,0;8,0;5,0;;1,9344262295081966;;0,12612612612612611;1,3;1,0;724,0
Aalten-kern Noord/Noordoost;Aalten;Buurt;1970304;7121;1195;2,2;3028,0;210,0;80,0;74,0;19,0;8,0;14,0;;1,9371727748691099;;0,11715481171548117;1,1;0,6;970,0
Aalten Kern 't Kobus;Aalten;Buurt;1970305;7122;320;3,0;2268,0;307,0;99,0;83,0;16,0;1,0;98,0;;2,1739130434782608;;0,1875;1,5;1,6;442,0
Aalten-kern Oost;Aalten;Buurt;1970306;7121;435;2,4;3297,0;181,0;100,0;82,0;15,0;2,0;1,0;;1,9473684210526316;;0,08045977011494253;1,2;0,5;1072,0
Aalten-kern Centrum;Aalten;Buurt;1970307;7121;1120;1,9;3236,0;186,0;46,0;47,0;33,0;19,0;24,0;;1,8980891719745223;;0,20982142857142858;1,0;0,3;1408,0
Dinxperlo Centrum/Oost;Aalten;Buurt;1970400;7091;1325;2,0;3206,0;188,0;73,0;50,0;39,0;12,0;17,0;;1,7474226804123711;;0,13584905660377358;1,1;0,4;961,0
Dinxperlo Noord;Aalten;Buurt;1970401;7091;785;2,3;2991,0;220,0;87,0;69,0;25,0;6,0;6,0;;1,8840579710144927;;0,09554140127388536;1,2;0,6;905,0
Dinxperlo West;Aalten;Buurt;1970402;7091;1025;2,3;1905,0;208,0;96,0;71,0;24,0;5,0;4,0;;1,9197860962566844;;0,1902439024390244;1,3;0,6;779,0
De Heurne-kern;Aalten;Buurt;1970403;7095;140;2,5;1545,0;276,0;92,0;87,0;6,0;6,0;19,0;;1,9615384615384615;;0,14285714285714285;1,9;0,4;74,0
Verspreide huizen Dinxperlo;Aalten;Buurt;1970408;7091;95;2,5;146,0;336,0;85,0;84,0;0,0;16,0;9,0;;2,0;;0,42105263157894735;1,6;1,2;339,0
Verspreide huizen De Heurne;Aalten;Buurt;1970409;7095;255;2,5;72,0;330,0;81,0;86,0;0,0;14,0;5,0;;2,0588235294117645;;0,35294117647058826;1,5;1,6;60,0
Buitenpost;Achtkarspelen;Buurt;590000;9285;2180;2,3;2025,0;177,0;83,0;61,0;35,0;4,0;6,0;;1,969945355191257;;0,1628440366972477;1,1;0,7;609,0
Twijzel;Achtkarspelen;Buurt;590001;9286;415;2,4;538,0;189,0;96,0;68,0;25,0;7,0;5,0;;1,6794871794871795;;0,26506024096385544;1,4;0,6;114,0
Kootstertille;Achtkarspelen;Buurt;590002;9288;885;2,3;1654,0;162,0;94,0;58,0;39,0;3,0;9,0;;1,6774193548387097;;0,1807909604519774;1,2;0,3;306,0
Twijzelerheide;Achtkarspelen;Buurt;590003;9287;635;2,4;1231,0;173,0;96,0;60,0;35,0;5,0;9,0;;1,6610169491525424;;0,1968503937007874;1,3;0,4;315,0
Gerkesklooster;Achtkarspelen;Buurt;590004;9873;315;2,3;1176,0;157,0;98,0;67,0;29,0;4,0;9,0;;1,8461538461538463;;0,19047619047619047;1,3;0,6;144,0
Verspreide huizen Buitenpost;Achtkarspelen;Buurt;590005;9285;255;2,6;42,0;279,0;98,0;76,0;19,0;5,0;34,0;;1,9019607843137254;;0,4117647058823529;1,4;1,8;245,0
Verspreide huizen Twijzel;Achtkarspelen;Buurt;590006;9286;30;2,9;13,0;285,0;94,0;94,0;0,0;6,0;32,0;;2,0;;0,5;;1,8;76,0
Verspreide huizen Kootstertille;Achtkarspelen;Buurt;590007;9288;130;2,7;58,0;299,0;99,0;93,0;0,0;7,0;22,0;;1,8518518518518519;;0,5769230769230769;;1,4;106,0
Verspreide huizen Twijzelerheide;Achtkarspelen;Buurt;590008;9287;95;2,4;49,0;287,0;96,0;88,0;3,0;7,0;9,0;;1,8421052631578947;;0,3684210526315789;1,4;1,9;88,0
Verspreide huizen Gerkesklooster;Achtkarspelen;Buurt;590009;9873;25;2,5;14,0;319,0;100,0;90,0;0,0;10,0;6,0;;1,8;;0,8;;2,2;45,0
Stroobos;Achtkarspelen;Buurt;590100;9871;100;2,4;819,0;153,0;96,0;78,0;0,0;22,0;10,0;;1,75;;0,3;1,3;1,5;137,0
Drogeham;Achtkarspelen;Buurt;590102;9289;635;2,4;1255,0;181,0;88,0;68,0;25,0;7,0;7,0;;1,793103448275862;;0,1732283464566929;1,2;0,4;219,0
Augustinusga;Achtkarspelen;Buurt;590103;9284;435;2,4;1036,0;190,0;96,0;73,0;23,0;4,0;7,0;;1,7530864197530864;;0,20689655172413793;1,5;0,5;142,0
Verspreide huizen Stroobos;Achtkarspelen;Buurt;590107;9872;20;3,1;29,0;286,0;100,0;91,0;0,0;9,0;18,0;;2,0;;0,5;;2,7;63,0
Verspreide huizen Drogeham;Achtkarspelen;Buurt;590108;9289;65;2,8;20,0;333,0;97,0;92,0;0,0;8,0;15,0;;2,066666666666667;;0,7692307692307693;2,0;1,5;115,0
Verspreide huizen Augustinusga;Achtkarspelen;Buurt;590109;9284;70;2,4;28,0;331,0;94,0;93,0;0,0;7,0;7,0;;1,8;;0,5;1,4;2,4;41,0
Surhuisterveen;Achtkarspelen;Buurt;590200;9231;2520;2,2;1772,0;186,0;77,0;53,0;41,0;6,0;14,0;;1,8025316455696203;;0,20436507936507936;1,2;0,6;693,0
Harkema;Achtkarspelen;Buurt;590201;9281;1660;2,4;1622,0;189,0;90,0;65,0;29,0;6,0;10,0;;1,6732673267326732;;0,18373493975903615;1,2;0,5;484,0
Surhuizum;Achtkarspelen;Buurt;590202;9283;360;2,4;907,0;191,0;96,0;75,0;21,0;3,0;2,0;;1,8676470588235294;;0,1527777777777778;1,5;0,4;115,0
Boelenslaan;Achtkarspelen;Buurt;590203;9233;315;2,3;1114,0;188,0;94,0;67,0;30,0;3,0;14,0;;1,6491228070175439;;0,12698412698412698;1,2;0,4;174,0
Verspreide huizen Surhuisterveen;Achtkarspelen;Buurt;590206;9231;150;2,8;95,0;288,0;98,0;62,0;30,0;8,0;52,0;;1,9705882352941178;;0,5;2,2;1,6;269,0
Verspreide huizen Harkema;Achtkarspelen;Buurt;590207;9281;105;2,6;71,0;306,0;100,0;86,0;9,0;6,0;21,0;;1,8695652173913044;;0,5238095238095238;1,9;1,6;158,0
Verspreide huizen Surhuizum;Achtkarspelen;Buurt;590208;9283;150;2,6;28,0;313,0;97,0;95,0;1,0;5,0;13,0;;2,1333333333333333;;0,43333333333333335;1,7;2,1;110,0
Verspreide huizen Boelenslaan;Achtkarspelen;Buurt;590209;9233;175;2,5;72,0;294,0;99,0;81,0;12,0;7,0;16,0;;1,9428571428571428;;0,37142857142857144;1,5;1,5;97,0
Cortgene;Alblasserdam;Buurt;4820101;2951;370;2,4;4181,0;327,0;64,0;74,0;23,0;3,0;25,0;;2,0508474576271185;;0,22972972972972974;1,3;0,7;1791,0
Redersbuurt;Alblasserdam;Buurt;4820102;2951;370;1,8;6850,0;161,0;39,0;29,0;60,0;10,0;6,0;;1,6666666666666667;;0,2702702702702703;0,6;0,4;1773,0
kerkbuurt;Alblasserdam;Buurt;4820103;2951;650;2,5;7250,0;213,0;72,0;72,0;19,0;10,0;7,0;;1,956896551724138;;0,23076923076923078;1,0;0,2;1887,0
Polderbuurt;Alblasserdam;Buurt;4820104;2952;195;2,7;3672,0;316,0;96,0;83,0;7,0;9,0;12,0;;1,925;;0,3076923076923077;1,4;0,8;1202,0
De Werven;Alblasserdam;Buurt;4820105;2951;455;2,4;4826,0;320,0;40,0;69,0;15,0;15,0;92,0;;2,0;;0,21978021978021978;1,2;0,8;1635,0
Dijk;Alblasserdam;Buurt;4820201;2953;225;2,6;1984,0;312,0;73,0;91,0;0,0;9,0;13,0;;1,9772727272727273;;0,3333333333333333;1,4;0,7;750,0
Vogelbuurt;Alblasserdam;Buurt;4820202;2953;560;2,2;8124,0;188,0;58,0;61,0;30,0;9,0;0,0;;1,8404255319148937;;0,10714285714285714;1,0;0,4;812,0
Waterland;Alblasserdam;Buurt;4820203;2953;165;2,6;4977,0;274,0;97,0;71,0;29,0;1,0;100,0;;;;0,12121212121212122;1,2;0,9;1335,0
Groene Long;Alblasserdam;Buurt;4820204;2953;1;4,0;59,0;;;;;;;;;;0,0;;0,9;1375,0
Rivierenbuurt;Alblasserdam;Buurt;4820205;2953;415;2,3;8139,0;187,0;61,0;39,0;58,0;3,0;21,0;;1,8333333333333333;;0,10843373493975904;0,9;0,4;896,0
Nieuw Kinderdijk;Alblasserdam;Buurt;4820206;2953;200;2,9;6698,0;238,0;90,0;58,0;38,0;2,0;50,0;;1,9047619047619047;;0,175;1,1;0,2;766,0
Zeelt;Alblasserdam;Buurt;4820301;2954;365;2,7;7577,0;289,0;92,0;86,0;13,0;1,0;0,0;;2,039473684210526;;0,136986301369863;1,4;0,3;1716,0
Middelland;Alblasserdam;Buurt;4820302;2954;220;2,7;6938,0;316,0;100,0;99,0;0,0;1,0;0,0;;2,1458333333333335;;0,18181818181818182;1,3;0,3;1834,0
Blokweer Noord;Alblasserdam;Buurt;4820303;2954;380;2,5;9290,0;228,0;89,0;74,0;14,0;11,0;0,0;;1,9210526315789473;;0,11842105263157894;1,1;0,5;1588,0
Blokweer Zuid;Alblasserdam;Buurt;4820304;2951;310;2,5;7534,0;250,0;87,0;85,0;13,0;1,0;25,0;;1,8833333333333333;;0,14516129032258066;1,1;0,5;1887,0
Drentsebuurt;Alblasserdam;Buurt;4820305;2951;380;2,4;8196,0;222,0;71,0;49,0;46,0;5,0;52,0;;1,71875;;0,13157894736842105;1,1;0,2;2001,0
Florabuurt;Alblasserdam;Buurt;4820306;2951;640;2,5;9138,0;197,0;82,0;51,0;43,0;6,0;6,0;;1,7876106194690264;;0,109375;0,9;0,4;2113,0
Staatsliedenbuurt;Alblasserdam;Buurt;4820307;2953;740;2,3;10529,0;155,0;53,0;48,0;47,0;5,0;0,0;;1,7272727272727273;;0,13513513513513514;0,8;0,6;1794,0
Schildersbuurt;Alblasserdam;Buurt;4820401;2951;530;2,4;7471,0;212,0;59,0;48,0;50,0;2,0;0,0;;1,9285714285714286;;0,10377358490566038;1,1;0,2;1532,0
Schrijversbuurt;Alblasserdam;Buurt;4820402;2951;625;2,6;8471,0;216,0;58,0;56,0;41,0;3,0;6,0;;1,8695652173913044;;0,152;1,0;0,6;1608,0
Klein Alblas;Alblasserdam;Buurt;4820403;2952;85;3,3;2508,0;664,0;100,0;98,0;0,0;2,0;96,0;;2,3636363636363638;;0,47058823529411764;1,5;1,0;1163,0
Oranjebuurt;Alblasserdam;Buurt;4820404;2951;225;1,9;9300,0;190,0;46,0;21,0;79,0;0,0;28,0;;1,6538461538461537;;0,06666666666666667;0,8;0,5;2014,0
Vinkenwaard;Alblasserdam;Buurt;4820501;2952;5;4,6;29,0;;;;;;;;;;49,0;;1,1;695,0
Hoogendijk;Alblasserdam;Buurt;4820502;2952;1;;;;;;;;;;;;75,0;;;347,0
Nieuwland;Alblasserdam;Buurt;4820503;2952;15;2,4;41,0;;;;;;;;;;8,333333333333334;;2,2;600,0
Polder Blokweer;Alblasserdam;Buurt;4820601;2954;1;3,0;;;;;;;;;;;0,0;;;688,0
Polder Kortland;Alblasserdam;Buurt;4820602;2954;15;3,9;37,0;;;;;;;;;;0,6666666666666666;;1,6;555,0
Polder Souburgh;Alblasserdam;Buurt;4820603;2954;5;2,0;40,0;;;;;;;;;;1,0;;1,6;463,0
Polder Vinkenwaard;Alblasserdam;Buurt;4820604;2952;25;3,3;256,0;;;;;;;;1,75;;0,6;;1,4;328,0
Valckesteyn;Albrandswaard;Buurt;6130101;3176;920;2,6;2720,0;337,0;82,0;85,0;14,0;1,0;16,0;;2,1139896373056994;;0,1956521739130435;1,3;1,0;972,0
Zwaardijk-Kruisdijk;Albrandswaard;Buurt;6130102;3176;45;1,9;329,0;253,0;100,0;60,0;34,0;6,0;0,0;;1,8;;1,0;;0,8;1218,0
Poortugaal;Albrandswaard;Buurt;6130103;3176;25;2,1;1437,0;396,0;100,0;100,0;0,0;0,0;0,0;;2,0;;0,2;;0,8;823,0
Buitengebied Poortugaal;Albrandswaard;Buurt;6130104;3176;50;2,0;96,0;470,0;100,0;85,0;0,0;15,0;5,0;;2,2222222222222223;;0,3;1,4;1,6;364,0
Rhoon Noord;Albrandswaard;Buurt;6130205;3161;840;2,2;1748,0;287,0;85,0;56,0;23,0;21,0;2,0;;2,1;;0,24404761904761904;1,3;0,6;875,0
Buitengebied Rhoon-Noord;Albrandswaard;Buurt;6130207;3161;15;1,8;56,0;;;;;;;;;;0,3333333333333333;;1,8;215,0
Beatrixstraat;Albrandswaard;Buurt;6130308;3171;440;2,2;3855,0;248,0;98,0;42,0;54,0;4,0;0,0;;1,9861111111111112;;0,125;1,1;0,5;1207,0
Landweg;Albrandswaard;Buurt;6130309;3171;745;2,5;5579,0;304,0;95,0;69,0;31,0;0,0;0,0;;2,061224489795918;;0,14093959731543623;1,2;0,6;1344,0
