Peildatum,Netbeheerder,Provincie,Gemeente,CBS_Buurt,CBS_Buurtcode,Aantal_aansluitingen_in_CBS-buurt,Aantal_aansluitingen_met_opwekinstallatie,Opgesteld_vermogen,WijkenEnBuurten,Gemeentenaam_1,SoortRegio_2,MeestVoorkomendePostcode_113,HuishoudensTotaal_28,GemiddeldeHuishoudensgrootte_32,Bevolkingsdichtheid_33,GemiddeldeWoningwaarde_35,PercentageEengezinswoning_36,Koopwoningen_40,InBezitWoningcorporatie_42,InBezitOverigeVerhuurders_43,BouwjaarVanaf2000_46,GemiddeldElektriciteitsverbruikTotaal_47,GemiddeldAardgasverbruikTotaal_55,Gemiddeld_opleidingsniveau,Percent_inkomensontvangers,Bedrijfsvestigingen_per_huishuidens,PersonenautoSPerHuishouden_102,AfstandTotSchool_108,Omgevingsadressendichtheid_116
202007.0,Enexis,Drenthe,Aa en Hunze,Ballo,16801901.0,53.0,13.0,93.0,Ballo,Aa en Hunze,Buurt,9458,65,2.3,318.0,383.0,93.0,95.0,0.0,5.0,9.0,3810.0,2420.0,2.230769230769231,0.625,0.3846153846153846,1.0,2.2,48.0
202007.0,Enexis,Drenthe,Aa en Hunze,Verspreide huizen Nooitgedacht,16801908.0,184.0,98.0,506.0,Verspreide huizen Nooitgedacht,Aa en Hunze,Buurt,9449,125,2.4,59.0,577.0,83.0,64.0,5.0,31.0,80.0,3240.0,1320.0,2.0625,0.3669724770642202,0.2,1.3,2.3,233.0
202007.0,Enexis,Drenthe,Aa en Hunze,Grolloo,16802000.0,266.0,59.0,290.0,Grolloo,Aa en Hunze,Buurt,9444,260,2.4,813.0,266.0,95.0,84.0,10.0,5.0,4.0,3250.0,1850.0,2.083333333333333,0.8,0.25,1.4,0.6,93.0
202007.0,Enexis,Drenthe,Aa en Hunze,Schoonloo,16802001.0,85.0,17.0,136.0,Schoonloo,Aa en Hunze,Buurt,9443,85,2.1,257.0,274.0,98.0,82.0,10.0,8.0,13.0,3360.0,2020.0,2.1333333333333333,1.0526315789473684,0.2941176470588235,1.2,4.4,28.0
202007.0,Enexis,Drenthe,Aa en Hunze,Verspreide huizen Grolloo,16802009.0,189.0,36.0,358.0,Verspreide huizen Grolloo,Aa en Hunze,Buurt,9443,105,2.3,6.0,309.0,100.0,56.0,0.0,44.0,3.0,4320.0,2730.0,2.0,0.7407407407407407,0.5714285714285714,1.3,3.2,37.0
202007.0,Enexis,Drenthe,Aa en Hunze,Ekehaar,16802100.0,109.0,28.0,272.0,Ekehaar,Aa en Hunze,Buurt,9454,105,2.4,711.0,287.0,99.0,87.0,8.0,5.0,11.0,3700.0,1950.0,2.25,0.7407407407407407,0.238095238095238,1.3,0.4,39.0
202007.0,Enexis,Drenthe,Assen,Brinkkwartier,1060000.0,280.0,11.0,59.0,Brinkkwartier,Assen,Buurt,9401,205,1.3,3500.0,129.0,7.0,24.0,7.0,69.0,5.0,2240.0,1000.0,1.8846153846153848,0.7692307692307693,0.7560975609756098,0.5,0.8,2402.0
202007.0,Enexis,Drenthe,Assen,Overcingel,1060002.0,286.0,18.0,86.0,Overcingel,Assen,Buurt,9401,285,1.6,2296.0,249.0,30.0,57.0,16.0,27.0,0.0,2340.0,1300.0,2.1739130434782608,0.8695652173913043,0.1929824561403508,1.0,0.9,2303.0
202007.0,Enexis,Drenthe,Assen,Oranjebuurt,1060003.0,304.0,24.0,72.0,Oranjebuurt,Assen,Buurt,9401,395,1.5,3159.0,158.0,28.0,46.0,21.0,30.0,30.0,2140.0,1140.0,2.15625,0.9090909090909092,0.2151898734177215,0.8,1.0,2499.0
202007.0,Enexis,Drenthe,Assen,Koopmanskwartier,1060005.0,1165.0,60.0,175.0,Koopmanskwartier,Assen,Buurt,9401,920,1.4,7051.0,135.0,5.0,12.0,48.0,40.0,27.0,1750.0,820.0,1.8762886597938144,0.8480565371024735,0.217391304347826,0.5,0.7,2669.0
202007.0,Enexis,Drenthe,Assen,Cultuureelkwartier,1060006.0,230.0,16.0,71.0,Cultuureelkwartier,Assen,Buurt,9401,230,1.6,4276.0,204.0,33.0,45.0,45.0,9.0,32.0,2010.0,1270.0,2.25,0.8108108108108109,0.1739130434782608,0.8,0.5,2527.0
202007.0,Enexis,Drenthe,Assen,Oude Gasfabriek,1060007.0,83.0,11.0,33.0,Oude Gasfabriek,Assen,Buurt,9401,105,2.2,1771.0,223.0,93.0,93.0,0.0,7.0,5.0,2850.0,1660.0,2.3684210526315788,0.8695652173913043,0.238095238095238,1.0,0.4,1467.0
202007.0,Enexis,Drenthe,Assen,De Hertenkamp,1060008.0,321.0,48.0,187.0,De Hertenkamp,Assen,Buurt,9401,315,1.9,3039.0,279.0,49.0,69.0,0.0,30.0,25.0,2740.0,1690.0,2.217391304347826,0.847457627118644,0.365079365079365,1.0,0.3,2062.0
202007.0,Enexis,Drenthe,Assen,De Esch,1060010.0,364.0,46.0,135.0,De Esch,Assen,Buurt,9401,345,2.0,5414.0,242.0,76.0,92.0,0.0,8.0,8.0,2540.0,1770.0,2.3653846153846154,0.8450704225352113,0.2318840579710145,1.1,0.9,1723.0
